Word 1,Word 2,Cosine Similarity,Human Score
love,sex,0.2639378,6.77
tiger,cat,0.5172963,7.35
tiger,tiger,1.0,10.0
book,paper,0.36346263,7.46
computer,keyboard,0.39639166,7.62
computer,internet,0.40686235,7.58
plane,car,0.37796983,5.77
train,car,0.34025604,6.31
telephone,communication,0.33218464,7.5
television,radio,0.6114972,6.77
media,radio,0.3899162,7.42
drug,abuse,0.2408578,6.85
bread,butter,0.64172614,6.19
cucumber,potato,0.5678562,5.92
doctor,nurse,0.6319522,7.0
professor,doctor,0.21336085,6.62
student,professor,0.4206619,6.81
smart,student,0.06630217,4.62
smart,stupid,0.47047207,5.81
company,stock,0.34156877,7.08
stock,market,0.46805573,8.08
stock,phone,0.12326757,1.62
stock,CD,0.06611792,1.31
stock,jaguar,0.036066916,0.92
stock,egg,0.10417769,1.81
fertility,egg,0.25652352,6.69
stock,live,0.04447178,3.73
stock,life,0.0745647,0.92
book,library,0.3245313,7.46
bank,money,0.26132068,8.12
wood,forest,0.41751635,7.73
money,cash,0.61512226,9.15
professor,cucumber,0.056618143,0.31
king,cabbage,0.11813171,0.23
king,queen,0.6510958,8.58
king,rook,0.20875594,5.92
bishop,rabbi,0.42778125,6.69
Jerusalem,Israel,0.6638747,8.46
Jerusalem,Palestinian,0.6342513,7.65
holy,sex,0.10070594,1.62
fuck,sex,0.22339177,9.44
Maradona,football,0.2888384,8.62
football,soccer,0.73135495,9.03
football,basketball,0.6682469,6.81
football,tennis,0.505118,6.63
tennis,racket,0.39200804,7.56
Arafat,peace,0.3149864,6.73
Arafat,terror,0.32154807,7.65
Arafat,Jackson,0.24712522,2.5
law,lawyer,0.34465778,8.38
movie,star,0.26419917,7.38
movie,popcorn,0.44535533,6.19
movie,critic,0.17430328,6.73
movie,theater,0.47419053,7.92
physics,proton,0.366406,8.12
physics,chemistry,0.4371984,7.35
space,chemistry,0.08025177,4.88
alcohol,chemistry,0.08876199,5.54
vodka,gin,0.5971749,8.46
vodka,brandy,0.6881492,8.13
drink,car,0.24563539,3.04
drink,ear,0.09346936,1.31
drink,mouth,0.17304005,5.96
drink,eat,0.5070201,6.87
baby,mother,0.5839772,7.85
drink,mother,0.15679945,2.65
car,automobile,0.58383673,8.94
gem,jewel,0.6210812,8.96
journey,voyage,0.6830853,9.29
boy,lad,0.588616,8.83
coast,shore,0.5083667,9.1
asylum,madhouse,0.2525393,8.87
magician,wizard,0.48634958,9.02
midday,noon,0.5527405,9.29
furnace,stove,0.60839105,8.79
food,fruit,0.37409267,7.52
bird,cock,0.36290243,7.1
bird,crane,0.302862,7.38
tool,implement,0.21234234,6.46
brother,monk,0.22320026,6.27
crane,implement,0.02318616,2.69
lad,brother,0.3595926,4.46
journey,car,0.09849626,5.85
monk,oracle,0.30354044,5.0
cemetery,woodland,0.38192505,2.08
food,rooster,0.11830647,4.42
coast,hill,0.16115776,4.38
forest,graveyard,0.22901127,1.85
shore,woodland,0.11690947,3.08
monk,slave,0.19146226,0.92
coast,forest,0.23609789,3.15
lad,wizard,0.33023012,0.92
chord,smile,0.14869238,0.54
glass,magician,0.037224907,2.08
noon,string,0.02165452,0.54
rooster,voyage,0.06275809,0.62
money,dollar,0.31356573,8.42
money,cash,0.61512226,9.08
money,currency,0.16010123,9.04
money,wealth,0.32951048,8.27
money,property,0.26824465,7.57
money,possession,0.053182706,7.29
money,bank,0.26132068,8.5
money,deposit,0.26041144,7.73
money,withdrawal,0.056026336,6.88
money,laundering,0.2523638,5.65
money,operation,0.084569305,3.31
tiger,jaguar,0.55286837,8.0
tiger,feline,0.4267145,8.0
tiger,carnivore,0.42893752,7.08
tiger,mammal,0.4964475,6.85
tiger,animal,0.50965333,7.0
tiger,organism,0.06294279,4.77
tiger,fauna,0.3297567,5.62
tiger,zoo,0.46924558,5.87
psychology,psychiatry,0.5556288,8.08
psychology,anxiety,0.27199253,7.0
psychology,fear,0.17129427,6.85
psychology,depression,0.3135565,7.42
psychology,clinic,0.12102106,6.58
psychology,doctor,0.19066519,6.42
psychology,Freud,0.33308253,8.21
psychology,mind,0.25049895,7.69
psychology,health,0.17619234,7.23
psychology,science,0.48088345,6.71
psychology,discipline,0.25971645,5.58
psychology,cognition,0.3995115,7.48
planet,star,0.19317113,8.45
planet,constellation,0.39312956,8.06
planet,moon,0.5024794,8.08
planet,sun,0.32067445,8.02
planet,galaxy,0.6338512,8.11
planet,space,0.28036746,7.92
planet,astronomer,0.3078756,7.94
precedent,example,0.37273765,5.85
precedent,information,0.088666044,3.85
precedent,cognition,-0.020569602,2.81
precedent,law,0.34597027,6.65
precedent,collection,0.03283146,2.5
precedent,group,0.07681482,1.77
precedent,antecedent,0.28377137,6.04
cup,coffee,0.35601783,6.58
cup,tableware,0.19486345,6.85
cup,article,0.08339214,2.4
cup,artifact,0.033699166,2.92
cup,object,0.10605285,3.69
cup,entity,0.03479223,2.15
cup,drink,0.35322174,7.25
cup,food,0.093795665,5.0
cup,substance,0.1255642,1.92
cup,liquid,0.25183946,5.9
jaguar,cat,0.40548655,7.42
jaguar,car,0.13319406,7.27
energy,secretary,0.092825554,1.81
secretary,senate,0.23210798,5.06
energy,laboratory,0.11277155,5.09
computer,laboratory,0.28754658,6.78
weapon,secret,0.25843903,6.06
FBI,fingerprint,0.33789977,6.94
